# Format: model_id,Display Name
# --- PASTE YOUR FULL LIST OF MODELS BELOW ---
# Example models:
mistralai/Mistral-7B-Instruct-v0.1,Mistral-7B-Instruct-v0.1
deepseek-ai/deepseek-llm-67b-chat,DeepSeek-LLM-67B-Chat (deepseek-ai)
deepseek-ai/DeepSeek-V2-Chat,DeepSeek-V2-Chat (deepseek-ai)
deepseek-ai/deepseek-r1-7b-chat,DeepSeek-R1-7B-Chat (deepseek-ai)
deepseek-ai/deepseek-math-7b,DeepSeek-Math-7B (deepseek-ai)
deepseek-ai/deepseek-moe-16b-chat,DeepSeek-MoE-16B-Chat (deepseek-ai)
deepseek-ai/deepseek-coder-33b-instruct,DeepSeek-Coder-33B-Instruct (deepseek-ai)
togethercomputer/RedPajama-INCITE-Instruct-7B,RedPajama-INCITE-Instruct-7B (TogetherComputer)
mistralai/Mixtral-8x7B-Instruct,Mixtral-8x7B-Instruct (MistralAI)
tiiuae/falcon-40b-instruct,Falcon-40B-Instruct (TII UAE)
tiiuae/falcon-180B-chat,Falcon-180B-Chat (TII UAE)
EleutherAI/gpt-neox-20b,GPT-NeoX-20B (EleutherAI)
databricks/dolly-v2-12b,Dolly-v2-12B (Databricks)
bigscience/bloom,BLOOM (BigScience)
THUDM/chatglm3-6b,ChatGLM3-6B (THUDM)
internlm/internlm2-chat-7b,InternLM2-Chat-7B (InternLM)
internlm/internlm2-chat-20b,InternLM2-Chat-20B (InternLM)
mosaicml/mpt-7b-instruct,MPT-7B-Instruct (MosaicML)
mosaicml/mpt-30b-instruct,MPT-30B-Instruct (MosaicML)
WizardLM/WizardCoder-Python-34B-V1.0,WizardCoder-Python-34B (WizardLM)
llava-hf/llava-1.5-7b-hf,LLaVA-1.5-7B-HF (Multimodal)
llava-hf/llava-v1.6-mistral-7b-hf,LLaVA-1.6-Mistral-7B-HF (Multimodal)
microsoft/Phi-3-vision-128k-instruct,Phi-3-Vision-128K-Instruct (Microsoft, Multimodal)
Qwen/Qwen-VL-Chat,Qwen-VL-Chat (Alibaba, Multimodal)
google/paligemma-3b-mix-448,PaliGemma-3B-Mix-448 (Google, Multimodal)
BAAI/Aquila-7B,Aquila-7B (BAAI)
Snowflake/snowflake-arctic-base,Snowflake Arctic Base
Snowflake/snowflake-arctic-instruct,Snowflake Arctic Instruct
baichuan-inc/Baichuan2-7B-Chat,Baichuan2-7B-Chat (baichuan-inc)
baichuan-inc/Baichuan2-13B-Chat,Baichuan2-13B-Chat (baichuan-inc)
baichuan-inc/Baichuan-7B,Baichuan-7B (baichuan-inc)
baichuan-inc/Baichuan-13B-Chat,Baichuan-13B-Chat (baichuan-inc)
bigscience/bloom-560m,BLOOM-560m (BigScience)
bigscience/bloomz-560m,BLOOMz-560m (BigScience)
THUDM/chatglm2-6b,ChatGLM2-6B (THUDM)
CohereForAI/c4ai-command-r7b-12-2024,Command-R 7B (CohereForAI, 12-2024)
databricks/dbrx-base,DBRX Base (Databricks)
Deci/DeciLM-7B,DeciLM-7B (Deci)
Deci/DeciLM-7B-instruct,DeciLM-7B-Instruct (Deci)
deepseek-ai/deepseek-llm-7b-base,DeepSeek-LLM-7B-Base (deepseek-ai)
deepseek-ai/deepseek-llm-67b-base,DeepSeek-LLM-67B-Base (deepseek-ai)
deepseek-ai/DeepSeek-V2-Base,DeepSeek-V2-Base (deepseek-ai)
deepseek-ai/DeepSeek-V3-Base,DeepSeek-V3-Base (deepseek-ai)
deepseek-ai/DeepSeek-V3-Chat,DeepSeek-V3-Chat (deepseek-ai)
LGAI-EXAONE/EXAONE-3.0-7.8B-Instruct,EXAONE-3.0-7.8B-Instruct (LGAI)
tiiuae/falcon-7b,Falcon-7B (TII UAE)
tiiuae/falcon-40b,Falcon-40B (TII UAE)
tiiuae/falcon-rw-7b,Falcon-RW-7B (TII UAE)
tiiuae/falcon-mamba-7b,FalconMamba-7B (TII UAE)
tiiuae/falcon-mamba-7b-instruct,FalconMamba-7B-Instruct (TII UAE)
google/gemma-2b,Gemma-2B (Google)
google/gemma-7b,Gemma-7B (Google)
google/gemma-2-9b,Gemma2-9B (Google)
google/gemma-2-27b,Gemma2-27B (Google)
google/gemma-3-1b-it,Gemma3-1B-IT (Google)
THUDM/glm-4-9b-chat-hf,GLM-4-9B-Chat (THUDM)
gpt2,GPT-2 (OpenAI)
gpt2-medium,GPT-2-Medium (OpenAI)
gpt2-large,GPT-2-Large (OpenAI)
gpt2-xl,GPT-2-XL (OpenAI)
bigcode/starcoder,StarCoder (BigCode)
bigcode/starcoderbase,StarCoderBase (BigCode)
bigcode/gpt_bigcode-santacoder,SantaCoder (BigCode)
WizardLM/WizardCoder-15B-V1.0,WizardCoder-15B (WizardLM)
nomic-ai/gpt4all-j,GPT4All-J (NomicAI)
EleutherAI/pythia-6.9b,Pythia-6.9B (EleutherAI)
EleutherAI/pythia-12b,Pythia-12B (EleutherAI)
OpenAssistant/oasst-sft-4-pythia-12b-epoch-3.5,OpenAssistant Pythia-12B (OASST)
stabilityai/stablelm-base-alpha-7b-v2,StableLM Base Alpha 7B v2 (StabilityAI)
stabilityai/stablelm-tuned-alpha-7b,StableLM Tuned Alpha 7B (StabilityAI)
ibm-granite/granite-3.0-2b-base,Granite-3.0-2B-Base (IBM)
ibm-granite/granite-3.1-8b-instruct,Granite-3.1-8B-Instruct (IBM)
ibm/PowerLM-3b,PowerLM-3B (IBM)
ibm-granite/granite-3.0-1b-a400m-base,Granite-3.0-1B-MoE-Base (IBM)
ibm-granite/granite-3.0-3b-a800m-instruct,Granite-3.0-3B-MoE-Instruct (IBM)
parasail-ai/GritLM-7B-vllm,GritLM-7B (Parasail AI)
hpcai-tech/grok-1,Grok-1 (xAI/hpcai-tech)
internlm/internlm-7b,InternLM-7B (InternLM)
internlm/internlm-chat-7b,InternLM-Chat-7B (InternLM)
internlm/internlm2-7b,InternLM2-7B (InternLM)
internlm/internlm2-20b,InternLM2-20B (InternLM)
internlm/internlm3-8b-instruct,InternLM3-8B-Instruct (InternLM)
inceptionai/jais-13b,Jais-13B (InceptionAI)
inceptionai/jais-13b-chat,Jais-13B-Chat (InceptionAI)
inceptionai/jais-30b-v3,Jais-30B-v3 (InceptionAI)
inceptionai/jais-30b-chat-v3,Jais-30B-Chat-v3 (InceptionAI)
ai21labs/AI21-Jamba-1.5-Large,Jamba-1.5-Large (AI21 Labs)
ai21labs/AI21-Jamba-1.5-Mini,Jamba-1.5-Mini (AI21 Labs)
ai21labs/Jamba-v0.1,Jamba-v0.1 (AI21 Labs)
meta-llama/Llama-2-7b-hf,Llama-2-7B-HF (Meta)
meta-llama/Llama-2-13b-hf,Llama-2-13B-HF (Meta)
meta-llama/Llama-2-70b-hf,Llama-2-70B-HF (Meta)
meta-llama/Llama-2-13b-chat-hf,Llama-2-13B-Chat-HF (Meta)
meta-llama/Llama-2-70b-chat-hf,Llama-2-70B-Chat-HF (Meta)
meta-llama/Meta-Llama-3-8B,Llama-3-8B (Meta)
meta-llama/Meta-Llama-3-70B,Llama-3-70B (Meta)
meta-llama/Meta-Llama-3.1-70B,Llama-3.1-70B (Meta)
01-ai/Yi-6B,Yi-6B (01.AI)
01-ai/Yi-34B,Yi-34B (01.AI)
state-spaces/mamba-130m-hf,Mamba-130M (state-spaces)
state-spaces/mamba-790m-hf,Mamba-790M (state-spaces)
state-spaces/mamba-2.8b-hf,Mamba-2.8B (state-spaces)
openbmb/MiniCPM-2B-sft-bf16,MiniCPM-2B-SFT (OpenBMB)
openbmb/MiniCPM-2B-dpo-bf16,MiniCPM-2B-DPO (OpenBMB)
mistralai/Mistral-7B-v0.1,Mistral-7B-v0.1
mistralai/Mixtral-8x7B-v0.1,Mixtral-8x7B-v0.1
mistralai/Mixtral-8x22B-v0.1,Mixtral-8x22B-v0.1
mistralai/Mixtral-8x22B-Instruct-v0.1,Mixtral-8x22B-Instruct-v0.1
mosaicml/mpt-7b,MPT-7B (MosaicML)
mosaicml/mpt-7b-chat,MPT-7B-Chat (MosaicML)
mosaicml/mpt-30b,MPT-30B (MosaicML)
mosaicml/mpt-30b-chat,MPT-30B-Chat (MosaicML)
allenai/OLMo-1B,OLMo-1B (AllenAI)
allenai/OLMo-7B,OLMo-7B (AllenAI)
allenai/OLMo-7B-Instruct,OLMo-7B-Instruct (AllenAI)
facebook/opt-125m,OPT-125m (Facebook)
facebook/opt-350m,OPT-350m (Facebook)
facebook/opt-1.3b,OPT-1.3B (Facebook)
facebook/opt-2.7b,OPT-2.7B (Facebook)
facebook/opt-6.7b,OPT-6.7B (Facebook)
facebook/opt-13b,OPT-13B (Facebook)
facebook/opt-30b,OPT-30B (Facebook)
facebook/opt-66b,OPT-66B (Facebook)
OrionStarAI/Orion-14B-Base,Orion-14B-Base (OrionStarAI)
OrionStarAI/Orion-14B-Chat,Orion-14B-Chat (OrionStarAI)
microsoft/phi-1,Phi-1 (Microsoft)
microsoft/phi-1_5,Phi-1.5 (Microsoft)
Qwen/Qwen-1_8B,Qwen-1.8B (Alibaba)
Qwen/Qwen-7B,Qwen-7B (Alibaba)
Qwen/Qwen-14B,Qwen-14B (Alibaba)
Qwen/Qwen-72B,Qwen-72B (Alibaba)
Qwen/Qwen-1_8B-Chat,Qwen-1.8B-Chat (Alibaba)
Qwen/Qwen-7B-Chat,Qwen-7B-Chat (Alibaba)
Qwen/Qwen-14B-Chat,Qwen-14B-Chat (Alibaba)
Qwen/Qwen-72B-Chat,Qwen-72B-Chat (Alibaba)
Qwen/Qwen1.5-MoE-A2.7B,Qwen1.5-MoE-A2.7B (Alibaba)
stabilityai/stablelm-3b-4e1t,StableLM-3B-4E1T (StabilityAI)
stabilityai/stablelm-2-zephyr-1_6b,StableLM-2-Zephyr-1.6B (StabilityAI)
bigcode/starcoder2-3b,StarCoder2-3B (BigCode)
bigcode/starcoder2-7b,StarCoder2-7B (BigCode)
bigcode/starcoder2-15b,StarCoder2-15B (BigCode)
xverse/XVERSE-7B,XVERSE-7B (xverse)
xverse/XVERSE-13B,XVERSE-13B (xverse)
xverse/XVERSE-65B,XVERSE-65B (xverse)
xverse/XVERSE-7B-Chat,XVERSE-7B-Chat (xverse)
xverse/XVERSE-13B-Chat,XVERSE-13B-Chat (xverse)
xverse/XVERSE-65B-Chat,XVERSE-65B-Chat (xverse)
Salesforce/blip2-opt-2.7b,BLIP-2-OPT-2.7B (Salesforce, Multimodal)
Salesforce/blip2-opt-6.7b,BLIP-2-OPT-6.7B (Salesforce, Multimodal)
Salesforce/blip2-flan-t5-xl,BLIP-2-Flan-T5-XL (Salesforce, Multimodal)
facebook/chameleon-7b,Chameleon-7B (Facebook, Multimodal)
adept/fuyu-8b,Fuyu-8B (Adept, Multimodal)
HuggingFaceM4/idefics2-8b,Idefics2-8B (HuggingFaceM4, Multimodal)
HuggingFaceM4/idefics2-8b-chatty,Idefics2-8B-Chatty (HuggingFaceM4, Multimodal)
OpenGVLab/InternVL2-4B,InternVL2-4B (OpenGVLab, Multimodal)
OpenGVLab/InternVL2-8B,InternVL2-8B (OpenGVLab, Multimodal)
OpenGVLab/InternVL2-26B,InternVL2-26B (OpenGVLab, Multimodal)
llava-hf/llava-1.5-13b-hf,LLaVA-1.5-13B-HF (Multimodal)
llava-hf/llava-v1.6-vicuna-7b-hf,LLaVA-1.6-Vicuna-7B-HF (Multimodal)
llava-hf/llava-v1.6-vicuna-13b-hf,LLaVA-1.6-Vicuna-13B-HF (Multimodal)
llava-hf/llava-v1.6-34b-hf,LLaVA-1.6-34B-HF (Multimodal)
openbmb/MiniCPM-V-2,MiniCPM-V-2 (OpenBMB, Multimodal)
openbmb/MiniCPM-Llama3-V-2_5,MiniCPM-Llama3-V-2.5 (OpenBMB, Multimodal)
google/paligemma-3b-pt-224,PaliGemma-3B-PT-224 (Google, Multimodal)
google/paligemma-3b-mix-224,PaliGemma-3B-Mix-224 (Google, Multimodal)
microsoft/Phi-3.5-vision-instruct,Phi-3.5-Vision-Instruct (Microsoft, Multimodal)
Qwen/Qwen2-VL-2B-Instruct,Qwen2-VL-2B-Instruct (Alibaba, Multimodal)
Qwen/Qwen2-VL-7B-Instruct,Qwen2-VL-7B-Instruct (Alibaba, Multimodal)
Qwen/Qwen2-VL-72B-Instruct,Qwen2-VL-72B-Instruct (Alibaba, Multimodal)
